anime_id,name,genre,type,episodes,members,genres_list
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,93657,"['Action', ' Adventure', ' Drama', ' Shounen', ' Supernatural']"
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,51185,"['Action', ' Comedy', ' Historical', ' Parody', ' Samurai', ' Sci-Fi', ' Shounen']"
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,297454,"['Action', ' Horror', ' Military', ' Seinen', ' Supernatural', ' Vampire']"
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,425457,"['Action', ' Drama', ' Horror', ' Psychological', ' Sci-Fi', ' Seinen']"
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,71295,"['Drama', ' Historical', ' Josei']"
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,72958,"['Comedy', ' Sci-Fi', ' Seinen', ' Slice of Life', ' Space']"
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,80825,"['Adventure', ' Supernatural']"
578,Hotaru no Haka,"Drama, Historical",Movie,1,174878,"['Drama', ' Historical']"
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,243325,"['Comedy', ' School', ' Shounen', ' Sports']"
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,28653,"['Comedy', ' Drama', ' Romance', ' Sports']"
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,504862,"['Action', ' Adventure', ' Comedy', ' Drama', ' Fantasy', ' Shounen', ' Super Power']"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,113993,"['Action', ' Mecha', ' Military', ' Mystery', ' Police', ' Sci-Fi', ' Seinen']"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,74074,"['Action', ' Adventure', ' Comedy', ' Drama', ' Shounen', ' Supernatural']"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,95658,"['Action', ' Mystery', ' Romance', ' Supernatural', ' Thriller']"
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,31234,"['Action', ' Historical', ' Military', ' Seinen']"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,82570,"['Comedy', ' Drama', ' School', ' Shounen', ' Sports']"
10162,Usagi Drop,"Josei, Slice of Life",TV,11,194855,"['Josei', ' Slice of Life']"
18617,Girls und Panzer der Film,"Military, School",Movie,1,25641,"['Military', ' School']"
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,193716,"['Action', ' Comedy', ' Slice of Life', ' Supernatural']"
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,197256,"['Comedy', ' Drama', ' Music', ' Romance', ' Shoujo', ' Slice of Life']"
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,363215,"['Action', ' Comedy', ' Historical', ' Mystery', ' Seinen', ' Supernatural']"
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,34011,"['Adventure', ' Fantasy', ' Historical', ' Mystery', ' Seinen', ' Slice of Life', ' Supernatural']"
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,896229,"['Action', ' Drama', ' Fantasy', ' Shounen', ' Super Power']"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,151561,"['Comedy', ' Drama', ' Romance', ' Shounen']"
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,53108,"['Comedy', ' Drama', ' Romance', ' School', ' Sports']"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,28864,"['Romance', ' School', ' Shounen Ai', ' Slice of Life']"
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,182224,"['Action', ' Mecha', ' Sci-Fi']"
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,288376,"['Drama', ' Horror', ' Mystery', ' Sci-Fi', ' Supernatural']"
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,44223,"['Action', ' Drama', ' Military', ' Sci-Fi', ' Space']"
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,86074,"['Drama', ' Game', ' Josei', ' Slice of Life', ' Sports']"
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,453630,"['Action', ' Fantasy', ' Supernatural']"
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,190197,"['Action', ' Adventure', ' Shounen', ' Supernatural', ' Vampire']"
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,462974,"['Drama', ' Magic', ' Psychological', ' Thriller']"
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,254436,"['Comedy', ' School', ' Slice of Life']"
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,509109,"['Action', ' Police', ' Psychological', ' Sci-Fi']"
22789,Barakamon,"Comedy, Slice of Life",TV,12,225927,"['Comedy', ' Slice of Life']"
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,38531,"['Comedy', ' School', ' Shounen', ' Sports']"
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,245026,"['Action', ' Adventure', ' Fantasy', ' Magic', ' Shounen']"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,135735,"['Drama', ' Magic', ' Psychological', ' Thriller']"
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,13405,"['Comedy', ' Drama', ' Sports']"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,390076,"['Action', ' Adventure', ' Comedy', ' Historical', ' Samurai', ' Shounen']"
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,185015,"['Ecchi', ' School', ' Shounen']"
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,207241,"['Action', ' Adventure', ' Historical', ' Martial Arts', ' Romance']"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,85361,"['Drama', ' Magic', ' Psychological', ' Thriller']"
7655,Major S6,"Comedy, Drama, Sports",TV,25,24788,"['Comedy', ' Drama', ' Sports']"
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,88850,"['Demons', ' Fantasy', ' Historical', ' Horror', ' Mystery', ' Seinen', ' Supernatural']"
25835,Shirobako,"Comedy, Drama",TV,24,146895,"['Comedy', ' Drama']"
2921,Ashita no Joe 2,"Drama, Sports",TV,47,6259,"['Drama', ' Sports']"
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,166255,"['Action', ' Adventure', ' Shounen', ' Super Power']"
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,299434,"['Action', ' Adventure', ' Shounen', ' Supernatural']"
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,146592,"['Drama', ' Josei', ' Music', ' Romance', ' School']"
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,271484,"['Adventure', ' Comedy', ' Supernatural']"
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,194491,"['Action', ' Mecha', ' Military', ' Police', ' Sci-Fi', ' Seinen']"
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,143273,"['Adventure', ' Fantasy']"
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,602291,"['Adventure', ' Comedy', ' Ecchi', ' Fantasy', ' Game', ' Supernatural']"
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,15074,"['Adventure', ' Drama', ' Historical', ' Slice of Life']"
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,195017,"['Action', ' Comedy', ' Demons', ' Fantasy', ' Martial Arts', ' School', ' Shounen']"
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,102822,"['Action', ' Adventure', ' Slice of Life']"
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,338315,"['Comedy', ' School', ' Shounen', ' Sports']"
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,157025,"['Comedy', ' Drama', ' Josei', ' Music', ' Romance', ' Slice of Life']"
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,210491,"['Adventure', ' Fantasy', ' Historical', ' Romance']"
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,92543,"['Action', ' Fantasy', ' Shoujo', ' Supernatural']"
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,159548,"['Sci-Fi', ' Thriller']"
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,205987,"['Action', ' Fantasy', ' Magic', ' Shounen', ' Supernatural']"
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,36751,"['Drama', ' Fantasy']"
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,99579,"['Mystery', ' Supernatural', ' Vampire']"
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,215630,"['Dementia', ' Drama', ' Mecha', ' Psychological', ' Sci-Fi']"
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,633817,"['Comedy', ' Romance', ' School', ' Slice of Life']"
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,289206,"['Adventure', ' Drama', ' Romance', ' Sci-Fi']"
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,57963,"['Action', ' Adventure', ' Drama', ' Fantasy', ' Romance', ' Shounen']"
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,107855,"['Comedy', ' Mystery', ' Supernatural']"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,218928,"['Action', ' Adventure', ' Comedy', ' Historical', ' Romance', ' Samurai']"
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,125503,"['Action', ' Adventure', ' Historical', ' Samurai']"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,28462,"['Adventure', ' Mystery', ' Police', ' Shounen']"
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,267484,"['Action', ' Fantasy', ' Magic', ' Shounen', ' Supernatural']"
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,41061,"['Comedy', ' Drama', ' Shounen', ' Sports']"
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,15420,"['Action', ' Mecha', ' Military', ' Sci-Fi', ' Shounen', ' Space']"
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,331627,"['Action', ' Adventure', ' Ecchi', ' Fantasy', ' Shounen', ' Supernatural']"
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,210736,"['Drama', ' Fantasy', ' Shoujo', ' Slice of Life', ' Supernatural']"
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,85020,"['Action', ' Adventure', ' Comedy', ' Drama', ' Fantasy', ' Shounen']"
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,218101,"['Mystery', ' Psychological', ' Supernatural', ' Thriller']"
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,53168,"['Action', ' Adventure', ' Shounen', ' Super Power']"
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,55787,"['Action', ' Adventure', ' Shounen', ' Super Power']"
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,67261,"['Comedy', ' Demons', ' Fantasy', ' Historical', ' Mystery', ' Shounen', ' Supernatural']"
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,30689,"['Comedy', ' Drama', ' Shounen', ' Sports']"
5040,One Outs,"Psychological, Seinen, Sports",TV,25,83056,"['Psychological', ' Seinen', ' Sports']"
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,148328,"['Comedy', ' Drama', ' Music', ' Shounen', ' Slice of Life']"
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,226430,"['Action', ' Adventure', ' Demons', ' Drama', ' Fantasy', ' Horror', ' Military', ' Romance', ' Seinen', ' Supernatural']"
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,137636,"['Action', ' Drama', ' Mystery', ' Sci-Fi', ' Space']"
1842,Major S3,"Drama, Shounen, Sports",TV,26,29528,"['Drama', ' Shounen', ' Sports']"
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,42076,"['Action', ' Drama', ' Mecha', ' Military', ' Sci-Fi', ' Space']"
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,28302,"['Drama', ' Fantasy', ' Shoujo', ' Slice of Life', ' Supernatural']"
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,291228,"['Comedy', ' Drama', ' Psychological', ' Romance']"
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,32188,"['Adventure', ' Drama', ' Historical', ' Romance', ' Shoujo']"
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,380375,"['Comedy', ' Drama', ' Romance', ' School', ' Slice of Life']"
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,717796,"['Action', ' Comedy', ' Drama', ' School', ' Supernatural']"
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,482268,"['Mystery', ' Romance', ' Supernatural', ' Vampire']"
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,83641,"['Mystery', ' Seinen', ' Supernatural']"
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,47840,"['Comedy', ' Shounen', ' Sports']"
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,76051,"['Action', ' Adventure', ' Comedy', ' Drama', ' Fantasy', ' Shounen']"
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,422271,"['Comedy', ' Harem', ' Romance', ' School', ' Shoujo']"
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,21798,"['Action', ' Mystery', ' Police', ' Shounen']"
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,556431,"['Action', ' Mystery', ' Supernatural']"
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,67697,"['Comedy', ' Josei', ' Music', ' Romance']"
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,105044,"['Drama', ' Romance', ' Sci-Fi', ' Seinen', ' Space']"
34240,Shelter,"Music, Sci-Fi",Music,1,71136,"['Music', ' Sci-Fi']"
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,151061,"['Adventure', ' Fantasy', ' Romance', ' Sci-Fi']"
